run_id,model,tool,config,model_params,duration,success,accuracy,precision,recall,f1_score
14,lstm,electric_screwdriver,"{'batch_size': 64, 'epochs': 100, 'learning_rate': 0.001, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'pseudo_labeling', 'labelled_ratio': 0.25, 'threshold': 0.9}, 'data_balancing': ['oversample', 'augment'], 'l1_lambda': 0.5, 'gradient_clip': 0.5, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'hidden_size': 32, 'num_layers': 2, 'dropout': 0.1}",248.17508840560913,True,0.7041,0.6775,0.741,0.6596
46,lstm,pneumatic_rivet_gun,"{'batch_size': 16, 'epochs': 75, 'learning_rate': 0.0005, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'contrastive', 'labelled_ratio': 0.1, 'temperature': 0.3}, 'data_balancing': ['augment'], 'l1_lambda': 0.5, 'gradient_clip': 5.0, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.1}",49.79800462722778,True,0.75,0.5797,0.6667,0.6167
74,lstm,pneumatic_screwdriver,"{'batch_size': 64, 'epochs': 100, 'learning_rate': 0.001, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'pseudo_labeling', 'labelled_ratio': 0.25, 'threshold': 0.9}, 'data_balancing': ['oversample', 'augment'], 'l1_lambda': 0.5, 'gradient_clip': 0.5, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'hidden_size': 32, 'num_layers': 2, 'dropout': 0.1}",70.5656225681305,True,0.6056,0.5199,0.5299,0.4814
101,tcn,electric_screwdriver,"{'batch_size': 32, 'epochs': 30, 'learning_rate': 0.001, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'pseudo_labeling', 'labelled_ratio': 0.25, 'threshold': 0.9}, 'data_balancing': ['oversample'], 'l1_lambda': 0.1, 'gradient_clip': 0.5, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'num_channels': [128, 64, 32], 'kernel_size': 2, 'dropout': 0.1}",119.60914087295532,True,0.7079,0.5871,0.6007,0.5878
140,tcn,pneumatic_rivet_gun,"{'batch_size': 64, 'epochs': 100, 'learning_rate': 0.005, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'contrastive', 'labelled_ratio': 0.1, 'temperature': 0.3}, 'data_balancing': ['augment'], 'l1_lambda': 1.0, 'gradient_clip': 5.0, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'num_channels': [32, 64, 32], 'kernel_size': 3, 'dropout': 0.2}",53.722768783569336,True,0.75,0.4608,0.4608,0.4608
168,tcn,pneumatic_screwdriver,"{'batch_size': 32, 'epochs': 50, 'learning_rate': 0.005, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'contrastive', 'labelled_ratio': 0.25, 'temperature': 0.5}, 'data_balancing': [], 'l1_lambda': 0.0, 'gradient_clip': 1.0, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}",58.53347826004028,True,0.5141,0.2688,0.279,0.2647
