run_id,model,tool,config,model_params,duration,success,accuracy,precision,recall,f1_score,batch_size,epochs,learning_rate,strategy,labelled_ratio,threshold,temperature,data_balancing,l1_lambda,gradient_clip,dropout,signature
110,tcn,electric_screwdriver,"{'batch_size': 64, 'epochs': 100, 'learning_rate': 0.005, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'contrastive', 'labelled_ratio': 0.1, 'temperature': 0.3}, 'data_balancing': ['augment'], 'l1_lambda': 1.0, 'gradient_clip': 5.0, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'num_channels': [32, 64, 32], 'kernel_size': 3, 'dropout': 0.2}",95.86719512939452,True,0.6704,0.5318,0.5119,0.5043,64,100,0.005,contrastive,0.1,,0.3,['augment'],1.0,5.0,0.2,"{'batch_size': 64, 'epochs': 100, 'learning_rate': 0.005, 'strategy': 'contrastive', 'labelled_ratio': 0.1, 'threshold': None, 'temperature': 0.3, 'data_balancing': ['augment'], 'l1_lambda': 1.0, 'gradient_clip': 5.0, 'dropout': 0.3, 'hidden_size': None, 'num_layers': None, 'kernel_size': 5, 'num_channels': [64, 128, 64]}"
140,tcn,pneumatic_rivet_gun,"{'batch_size': 64, 'epochs': 100, 'learning_rate': 0.005, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'contrastive', 'labelled_ratio': 0.1, 'temperature': 0.3}, 'data_balancing': ['augment'], 'l1_lambda': 1.0, 'gradient_clip': 5.0, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'num_channels': [32, 64, 32], 'kernel_size': 3, 'dropout': 0.2}",53.722768783569336,True,0.75,0.4608,0.4608,0.4608,64,100,0.005,contrastive,0.1,,0.3,['augment'],1.0,5.0,0.2,"{'batch_size': 64, 'epochs': 100, 'learning_rate': 0.005, 'strategy': 'contrastive', 'labelled_ratio': 0.1, 'threshold': None, 'temperature': 0.3, 'data_balancing': ['augment'], 'l1_lambda': 1.0, 'gradient_clip': 5.0, 'dropout': 0.3, 'hidden_size': None, 'num_layers': None, 'kernel_size': 5, 'num_channels': [64, 128, 64]}"
170,tcn,pneumatic_screwdriver,"{'batch_size': 64, 'epochs': 100, 'learning_rate': 0.005, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'contrastive', 'labelled_ratio': 0.1, 'temperature': 0.3}, 'data_balancing': ['augment'], 'l1_lambda': 1.0, 'gradient_clip': 5.0, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'num_channels': [32, 64, 32], 'kernel_size': 3, 'dropout': 0.2}",64.64050650596619,True,0.4507,0.3048,0.2948,0.2575,64,100,0.005,contrastive,0.1,,0.3,['augment'],1.0,5.0,0.2,"{'batch_size': 64, 'epochs': 100, 'learning_rate': 0.005, 'strategy': 'contrastive', 'labelled_ratio': 0.1, 'threshold': None, 'temperature': 0.3, 'data_balancing': ['augment'], 'l1_lambda': 1.0, 'gradient_clip': 5.0, 'dropout': 0.3, 'hidden_size': None, 'num_layers': None, 'kernel_size': 5, 'num_channels': [64, 128, 64]}"
